Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Number of iPad App Portal Downloads,1,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,,,,Number of App Downloads
Anticipated Launch Date for Product in Development,,,,NA Work Leadership Wall,Document,Once,Weekly,Greg Parsons,NA Leadership Team,Marketing,Sales,Research,Design/Development,Product,Time,Product Family,Product Category,Date
Status in HDP of Product ,,,,Development Wall,Whiteboard,Weekly,Daily,Connie Boeve,Development,Design/Development,Product Management,,,Product,Time,Product Family,Product Category,Status/Month
Projected Living Office Readiness,,,,NA Work Leadership Wall,Map,Once,Weekly,Greg Parsons,NA Leadership Team,Marketing,Sales,Research,Design/Development,Product,Time,Product Family,Product Category,
Dealer Living Office Readiness,,,,NA Work Leadership Wall,Map,Once,Weekly,Greg Parsons,NA Leadership Team,Marketing,Sales,Research,Design/Development,Product,Time,Product Family,Product Category,
% Respondents Able to Complete Tasks Online,,,,Powerpoint,Document,Once,Once,Bill Berndal,Marketing,Marketing,,,,Product,Time,,,
Website User Satisfaction,,,,Powerpoint,Document,Once,Once,Bill Berndal,Marketing,Marketing,,,,Product,Time,Customer Segment,Region,
Website Uptime,,,,Powerpoint,Document,Once,Once,Bill Berndal,Marketing,Marketing,,,,Product,Time,,,
Customer Personas,,,,Document,Document,Once,Once,Bill Berndal,Marketing,Marketing,,,,Customer,Customer Segment,Region,,
Brand Awareness by Consumer Segments,,,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer,Customer Segment,Region,Product,
Brand Sentiment by Consumer Segments,,,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer,Customer Segment,Region,Product,
Online Generated Leads,,,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Product,Customer Segment,Product Family,Product Category,
Self Service Usage,,,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer,Product  ,Time,,
Total Number of Online Accounts,,,,Powerpoint,Razorfish Deck,Once,Once,Bill Bernhal,Marketing,Marketing,,,,Customer,Region,Time,Product ,
Performance Environments - Room Occupancy,,,,Spreadsheet,Spreadsheet,Once,Once,Tracy Brower,Performance Environments,Performance Environments,,,,Time,Customer,Product Family,Product,Occupied/Not Occupied
List of Top Customers by MSA Region,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,,,Customer
Sales Quantity by Month by Manufacturing Cell,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Product,Time,,,Customer
Top Potential Customers by MSA Region ,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,,,Customer
Market Size by MSA Region by Year,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,Time,,Dollars
Potential Sales by MSA Region by Year,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,Time,Product,Dollars
Shipments by MSA Region by Year,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Region,Time,Product,Dollars
Target Sales by MSA Region by Year,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Product,Region,Time,Category,Dollars
Target Sales by MSA Region by Segment by Year,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Product,Region,Time,Category,Dollars
Number of Employees at each Customer,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Employee,,,People
Ranking of Each Customer Nationally,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Employee,Region,Customer Segment,Customer
Potential Sales for Projected Per Customer,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Customer,Time,Region,,Dollars
Product Margin of Dealer Compared to Average Dealer by MSA Region,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Dealer,Time,Product,,Dollars
Dealer Discounting compared to average dealer discounting by MSA Region,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Dealer,Product,,,Dollars
Sales vs Plan by MSA Region,,,,PDF Document,MSA Dashboard,Monthly,Monthly,Dave Masselink,IT,Sales,,,,Time,Region,Product,,Product
Requested Screen Resolution,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Product,,,,Event Instance
Room Motion Sensor Activity,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,,,,Event Instance
Laptop Plugged In to presentation system,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,,,,Event Instance
Presentation system turned on,,,,Database,Creston/Fusion Server,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Time,,,,Event Instance
